time_s,event_type,uav_id,cluster_id,details
5,JOIN,0,0,ok
10,LEAVE,1,0,ok
25,JOIN,1,0,ok
35,LEAVE,2,0,ok
45,JOIN,2,0,ok
50,COMPROMISE,0,0,reason=0
50,COMPROMISE,0,0,hmac_fail
60,LEAVE,3,0,ok
60,BATCH_REKEY,255,ALL,global
65,JOIN,3,0,ok
80,HANDOVER,1,0→1
85,JOIN,4,0,ok
85,LEAVE,4,0,ok
105,JOIN,5,1,ok
110,LEAVE,5,1,ok
125,JOIN,6,1,ok
135,LEAVE,6,1,ok
145,JOIN,7,1,ok
160,LEAVE,7,1,ok
165,JOIN,8,1,ok
185,JOIN,9,1,ok
185,LEAVE,8,1,ok
205,JOIN,10,2,ok
210,LEAVE,9,1,ok
225,JOIN,11,2,ok
235,LEAVE,10,2,ok
245,JOIN,12,2,ok
260,LEAVE,11,2,ok
265,JOIN,13,2,ok
285,JOIN,14,2,ok
285,LEAVE,12,2,ok
305,JOIN,0,0,ok
310,LEAVE,13,2,ok
325,JOIN,1,0,ok
335,LEAVE,14,2,ok
345,JOIN,2,0,ok
360,LEAVE,0,0,ok
365,JOIN,3,0,ok
385,JOIN,4,0,ok
385,LEAVE,1,0,ok
405,JOIN,5,1,ok
410,LEAVE,2,0,ok
425,JOIN,6,1,ok
435,LEAVE,3,0,ok
445,JOIN,7,1,ok
460,LEAVE,4,0,ok
465,JOIN,8,1,ok
485,JOIN,9,1,ok
485,LEAVE,5,1,ok
505,JOIN,10,2,ok
510,LEAVE,6,1,ok
525,JOIN,11,2,ok
535,LEAVE,7,1,ok
545,JOIN,12,2,ok
560,LEAVE,8,1,ok
565,JOIN,13,2,ok
585,JOIN,14,2,ok
585,LEAVE,9,1,ok
605,JOIN,0,0,ok
610,LEAVE,10,2,ok
625,JOIN,1,0,ok
635,LEAVE,11,2,ok
645,JOIN,2,0,ok
660,LEAVE,12,2,ok
665,JOIN,3,0,ok
685,JOIN,4,0,ok
685,LEAVE,13,2,ok
705,JOIN,5,1,ok
710,LEAVE,14,2,ok
725,JOIN,6,1,ok
735,LEAVE,0,0,ok
745,JOIN,7,1,ok
760,LEAVE,1,0,ok
765,JOIN,8,1,ok
785,JOIN,9,1,ok
785,LEAVE,2,0,ok
805,JOIN,10,2,ok
810,LEAVE,3,0,ok
825,JOIN,11,2,ok
835,LEAVE,4,0,ok
845,JOIN,12,2,ok
860,LEAVE,5,1,ok
865,JOIN,13,2,ok
885,JOIN,14,2,ok
885,LEAVE,6,1,ok
905,JOIN,0,0,ok
910,LEAVE,7,1,ok
925,JOIN,1,0,ok
935,LEAVE,8,1,ok
945,JOIN,2,0,ok
960,LEAVE,9,1,ok
965,JOIN,3,0,ok
985,JOIN,4,0,ok
985,LEAVE,10,2,ok
1005,JOIN,5,1,ok
1010,LEAVE,11,2,ok
1025,JOIN,6,1,ok
1035,LEAVE,12,2,ok
1045,JOIN,7,1,ok
1060,LEAVE,13,2,ok
1065,JOIN,8,1,ok
1085,JOIN,9,1,ok
1085,LEAVE,14,2,ok
1105,JOIN,10,2,ok
1110,LEAVE,0,0,ok
1125,JOIN,11,2,ok
1135,LEAVE,1,0,ok
1145,JOIN,12,2,ok
1160,LEAVE,2,0,ok
1165,JOIN,13,2,ok
1185,JOIN,14,2,ok
1185,LEAVE,3,0,ok
1205,JOIN,0,0,ok
1210,LEAVE,4,0,ok
1225,JOIN,1,0,ok
1235,LEAVE,5,1,ok
1245,JOIN,2,0,ok
1260,LEAVE,6,1,ok
1265,JOIN,3,0,ok
1285,JOIN,4,0,ok
1285,LEAVE,7,1,ok
1305,JOIN,5,1,ok
1310,LEAVE,8,1,ok
1325,JOIN,6,1,ok
1335,LEAVE,9,1,ok
1345,JOIN,7,1,ok
1360,LEAVE,10,2,ok
1365,JOIN,8,1,ok
1385,JOIN,9,1,ok
1385,LEAVE,11,2,ok
1405,JOIN,10,2,ok
1410,LEAVE,12,2,ok
1425,JOIN,11,2,ok
1435,LEAVE,13,2,ok
1445,JOIN,12,2,ok
1460,LEAVE,14,2,ok
1465,JOIN,13,2,ok
1485,JOIN,14,2,ok
1485,LEAVE,0,0,ok
1505,JOIN,0,0,ok
1510,LEAVE,1,0,ok
1525,JOIN,1,0,ok
1535,LEAVE,2,0,ok
1545,JOIN,2,0,ok
1560,LEAVE,3,0,ok
1565,JOIN,3,0,ok
1585,JOIN,4,0,ok
1585,LEAVE,4,0,ok
1605,JOIN,5,1,ok
